"","is_weekday","variable","Total","Social","Pickups","prop","duration"
"1",0,"mean",442.666666666667,140.851851851852,77.3333333333333,0.324314146427064,6.99464796057234
"2",0,"sd",144.165236394269,69.95751661583,34.8910391846476,0.114917489694474,4.10635017109226
"3",0,"q1",344.5,103.5,53,0.228526375585199,3.90196471531676
"4",0,"q3",515.5,169.5,91.5,0.386496771473584,8.37735849056604
"5",0,"min",110,40,31,0.103896103896104,1
"6",0,"max",821,383,181,0.613569321533923,18.2941176470588
"7",1,"mean",445.68,120.48,125.08,0.294560933333,4.36160622522493
"8",1,"sd",158.1014231435,48.6716207524125,45.4467820643002,0.130948135098447,2.68964252411425
"9",1,"q1",337,83,92,0.202729044834308,2.26751592356688
"10",1,"q3",547,162,152,0.354779411764706,6.35555555555556
"11",1,"min",193,56,53,0.112561174551387,1.08064516129032
"12",1,"max",743,209,241,0.592067988668555,10.0405405405405
